File created on 2020-10-07T15:24:25.164921
#COOR
GSM


#START
2000 07 15 03 03 00 000       -5.11      -5.46       1.62    -705.30     -35.15       6.90       4.31  359557.00
2000 07 15 03 04 00 000       -5.47      -5.52       0.33    -713.90     -32.50      15.84       3.02  412852.00
2000 07 15 03 05 00 000       -5.64      -5.42      -0.79    -725.60     -34.18      23.23       3.11  591677.00
2000 07 15 03 06 00 000       -5.64      -5.38      -0.81    -724.80     -40.73       9.66       3.27  309750.00
2000 07 15 03 07 00 000       -5.74      -4.91      -1.72    -741.70     -36.03       7.08       2.59  501025.00
2000 07 15 03 08 00 000       -5.77      -4.35      -1.92    -724.30     -45.77      12.76       3.33  585949.00
2000 07 15 03 09 00 000       -4.32      -5.68       1.54    -717.90     -42.54       4.89       3.46  607192.00
2000 07 15 03 10 00 000       -4.30      -5.49       1.89    -734.00     -57.82       1.14       3.04  616176.00
2000 07 15 03 11 00 000       -4.50      -5.20       2.27    -727.50     -45.35      11.63       2.85  494939.00
2000 07 15 03 12 00 000       -4.36      -5.78       1.67    -721.00     -43.73       4.99       1.73  851915.00
2000 07 15 03 13 00 000       -3.94      -6.32       1.03    -715.20     -45.24       4.96       1.68  886625.00
2000 07 15 03 14 00 000       -4.39      -6.07      -0.55    -711.10     -46.67      -3.11       1.71 1011089.00
2000 07 15 03 15 00 000       -4.60      -6.00      -0.28    -721.10     -44.22       4.03       1.72  749093.00
2000 07 15 03 16 00 000       -4.39      -6.11      -0.81    -702.10     -45.02      -0.38       1.53 1247444.00
2000 07 15 03 17 00 000       -4.57      -6.01       0.12    -714.70     -36.09       0.73       3.29  720004.00
2000 07 15 03 18 00 000       -4.57      -5.94       0.87    -720.80     -41.94       1.51       2.88  745502.00
2000 07 15 03 19 00 000       -4.68      -5.90      -0.59    -715.60     -47.44       0.75       2.58  825695.00
2000 07 15 03 20 00 000       -4.54      -5.85      -0.47    -712.50     -45.19      11.72       2.28  476030.00
2000 07 15 03 21 00 000       -4.55      -5.84      -0.65    -717.00     -35.96       7.36       3.40  215307.00
2000 07 15 03 22 00 000       -4.49      -5.81      -0.56    -727.70     -38.01       3.77       3.73  423751.00
2000 07 15 03 23 00 000       -4.57      -5.88      -0.80    -723.10     -39.75       7.58       3.42  354015.00
2000 07 15 03 24 00 000       -4.50      -5.64      -0.73    -722.90     -39.84       7.72       3.41  351672.00
2000 07 15 03 25 00 000       -4.56      -5.66      -0.12    -723.30     -49.68      -1.42       2.79  400954.00
2000 07 15 03 26 00 000       -4.44      -5.83      -0.20    -732.40     -44.32       8.03       2.61  629379.00
2000 07 15 03 27 00 000       -4.41      -5.79      -0.45    -730.70     -55.97      17.07       2.20  559365.00
2000 07 15 03 28 00 000       -4.38      -5.69      -0.36    -725.10     -51.10      11.50       2.80  345619.00
2000 07 15 03 29 00 000       -4.47      -5.60      -0.95    -728.10     -51.68       7.78       3.33  331737.00
2000 07 15 03 30 00 000       -4.94      -5.19      -0.99    -735.30     -63.07       2.55       2.40  782586.00
2000 07 15 03 31 00 000       -4.81      -5.37      -1.10    -729.30     -61.51      12.80       2.61 1078453.00
2000 07 15 03 32 00 000       -4.73      -5.43      -0.92    -744.30     -48.19      14.17       2.84  416851.00
2000 07 15 03 33 00 000       -4.77      -5.54      -1.06    -726.40     -47.54       8.81       3.10  401791.00
2000 07 15 03 34 00 000       -4.98      -5.50      -1.18    -731.90     -40.67       4.30       3.43  554519.00
